inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.38,0.37,13.0,0.6,5e-05,0.0,0.0,2.0,0.0,5.0,0.0,7.0,3.0,2.0,5.0,2.0,6.0,10.0,8.0,9.0,11.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-inf
0.17,0.25,12.0,0.7,0.0005,0.0,5.0,6.0,9.0,5.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,-inf
0.21,0.41,10.0,0.3,0.005,0.0,52.0,98.0,119.0,137.0,119.0,124.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-inf
0.12,0.38,15.0,0.3,0.005,0.0,59.0,135.0,199.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-inf
0.88,0.32,14.0,0.2,0.1,0.0,1798.0,5006.0,6069.0,140.0,92.0,64.0,36.0,11.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17694.0,-3057.6910877933224
0.95,0.24,11.0,0.8,0.05,0.0,1159.0,8075.0,1552.0,692.0,589.0,327.0,137.0,77.0,16.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32089.0,-inf
0.58,0.25,5.0,0.2,0.5,0.0,3633.0,3486.0,2890.0,2766.0,563.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4635.0,-6707.315525159958
0.89,0.4,8.0,0.9,0.1,0.0,1609.0,8084.0,3330.0,70.0,61.0,21.0,20.0,6.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22213.0,-inf
0.04,0.31,10.0,0.2,0.001,0.0,18.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-inf
0.69,0.34,6.0,0.5,5e-05,0.0,0.0,0.0,1.0,3.0,12.0,24.0,45.0,126.0,236.0,389.0,528.0,640.0,761.0,811.0,819.0,811.0,737.0,682.0,634.0,543.0,489.0,445.0,389.0,323.0,310.0,11666.0,-1852.6353110731884
0.42,0.26,5.0,0.5,0.0005,0.0,1.0,3.0,2.0,4.0,13.0,8.0,9.0,11.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-inf
0.88,0.32,15.0,0.9,0.05,0.0,487.0,2508.0,9059.0,529.0,219.0,147.0,77.0,23.0,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21873.0,-inf
0.1,0.28,12.0,0.8,0.005,0.0,48.0,39.0,30.0,57.0,81.0,72.0,87.0,88.0,65.0,80.0,69.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-inf
0.28,0.3,14.0,0.4,0.05,0.0,395.0,734.0,1073.0,1243.0,1685.0,1485.0,1234.0,999.0,809.0,710.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,-inf
0.09,0.24,7.0,0.8,0.1,0.0,812.0,739.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-inf
0.26,0.32,8.0,0.1,0.5,0.0,3572.0,4619.0,3731.0,1042.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-inf
0.24,0.32,6.0,0.2,0.001,0.0,10.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-inf
0.01,0.34,11.0,0.5,0.01,0.0,254.0,396.0,370.0,432.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-inf
0.71,0.26,10.0,0.8,0.5,0.0,3564.0,4630.0,4808.0,344.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10210.0,-615.1540719536359
0.76,0.38,9.0,0.5,0.1,0.0,1839.0,4115.0,4188.0,2646.0,524.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10562.0,-1331.1533226255951
0.08,0.4,9.0,0.1,0.0005,0.0,9.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-inf
0.97,0.4,15.0,0.8,0.0001,0.0,16.0,198.0,446.0,1154.0,1902.0,1906.0,1258.0,744.0,380.0,195.0,81.0,39.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36918.0,-inf
0.08,0.35,13.0,0.5,5e-05,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-inf
0.13,0.25,14.0,0.9,0.0005,0.0,7.0,7.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-inf
0.98,0.26,12.0,0.3,0.05,0.0,3383.0,4164.0,1224.0,1448.0,908.0,459.0,144.0,59.0,27.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35434.0,-inf
0.97,0.35,7.0,0.7,0.05,0.0,1439.0,8075.0,561.0,848.0,595.0,260.0,104.0,42.0,16.0,11.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34749.0,-inf
0.67,0.32,12.0,0.1,0.05,0.0,386.0,785.0,1821.0,3529.0,4150.0,2289.0,338.0,17.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6548.0,-1129.0149028309388
0.16,0.3,6.0,0.5,0.05,0.0,388.0,398.0,387.0,400.0,382.0,375.0,323.0,336.0,381.0,590.0,565.0,559.0,527.0,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-inf
0.49,0.31,10.0,0.2,0.0005,0.0,6.0,14.0,32.0,52.0,79.0,73.0,106.0,131.0,164.0,222.0,260.0,350.0,478.0,569.0,708.0,794.0,861.0,912.0,976.0,990.0,969.0,825.0,749.0,647.0,483.0,2691.0,-8829.917329788193
0.98,0.3,9.0,0.1,0.1,0.0,5993.0,2977.0,929.0,1027.0,600.0,268.0,116.0,38.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32853.0,-inf
0.62,0.34,14.0,0.6,0.1,0.0,1526.0,3688.0,3746.0,3186.0,1067.0,131.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5761.0,-3520.639866884991
0.97,0.35,8.0,0.2,0.005,0.0,254.0,3830.0,1825.0,1777.0,1466.0,769.0,311.0,119.0,53.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34236.0,-inf
0.44,0.31,13.0,0.9,0.0005,0.0,13.0,17.0,17.0,18.0,26.0,55.0,74.0,63.0,76.0,98.0,99.0,105.0,114.0,152.0,166.0,204.0,234.0,298.0,334.0,366.0,374.0,401.0,465.0,551.0,565.0,619.0,-inf
0.72,0.3,10.0,0.5,0.01,0.0,122.0,316.0,890.0,2118.0,3403.0,3818.0,2025.0,333.0,84.0,41.0,24.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9515.0,-576.3179877628428
0.22,0.34,6.0,0.2,0.5,0.0,6246.0,5109.0,1671.0,291.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-inf
0.79,0.4,12.0,0.1,0.001,0.0,17.0,55.0,282.0,1006.0,2547.0,3582.0,2606.0,1112.0,505.0,206.0,109.0,40.0,14.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13953.0,-2817.341890196657
0.67,0.41,5.0,0.4,0.01,0.0,83.0,401.0,683.0,922.0,1207.0,1627.0,2497.0,3167.0,1963.0,590.0,65.0,15.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.0,-3283.732006306684
0.94,0.25,7.0,0.5,0.001,0.0,12.0,124.0,1312.0,2315.0,2408.0,2305.0,1465.0,630.0,284.0,105.0,49.0,15.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32708.0,-inf
0.49,0.31,5.0,0.8,0.0005,0.0,4.0,4.0,11.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-inf
0.32,0.38,15.0,0.9,0.001,0.0,38.0,71.0,84.0,102.0,93.0,102.0,122.0,171.0,186.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-inf
0.33,0.34,9.0,0.3,5e-05,0.0,0.0,0.0,1.0,2.0,4.0,6.0,6.0,3.0,4.0,4.0,6.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,-inf
0.84,0.34,6.0,0.5,0.001,0.0,10.0,34.0,249.0,1326.0,3234.0,3312.0,1842.0,873.0,493.0,256.0,88.0,32.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19696.0,-inf
0.2,0.37,15.0,0.7,0.1,0.0,1810.0,3765.0,3034.0,1932.0,1132.0,703.0,432.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,-inf
0.54,0.42,8.0,0.3,0.005,0.0,39.0,49.0,156.0,322.0,441.0,708.0,1192.0,1773.0,2264.0,2260.0,1827.0,1177.0,641.0,288.0,111.0,24.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2705.0,-7686.980943067775
0.33,0.28,8.0,0.9,0.001,0.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-inf
0.95,0.31,12.0,0.6,0.0001,0.0,0.0,81.0,331.0,702.0,1361.0,1937.0,1867.0,1383.0,854.0,509.0,323.0,165.0,70.0,50.0,19.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34709.0,-inf
0.88,0.24,15.0,0.3,0.5,0.0,3746.0,9244.0,236.0,45.0,32.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18764.0,-2338.574684269304
0.99,0.41,6.0,0.5,5e-05,0.0,20.0,56.0,397.0,1237.0,1624.0,1440.0,1081.0,700.0,513.0,319.0,181.0,116.0,85.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38226.0,-inf
