inf_prob,diag_prob,i0,behaviour_change,behaviour_change_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total_immunized,LL
0.38,0.37,13.0,0.6,5e-05,0.0,0.0,2.0,0.0,5.0,0.0,7.0,3.0,2.0,5.0,1.0,5.0,3.0,1.0,12.0,8.0,4.0,6.0,7.0,5.0,9.0,8.0,6.0,4.0,4.0,7.0,13909.0,-inf
0.17,0.25,12.0,0.7,0.0005,0.0,10.0,44.0,26.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13860.0,-inf
0.21,0.41,10.0,0.3,0.005,0.0,90.0,195.0,339.0,405.0,391.0,497.0,495.0,493.0,457.0,446.0,423.0,402.0,331.0,378.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13878.0,-inf
0.12,0.38,15.0,0.3,0.005,0.0,44.0,112.0,271.0,314.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.0,-inf
0.88,0.32,14.0,0.2,0.1,0.0,1491.0,8967.0,2495.0,77.0,84.0,63.0,21.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25012.0,-inf
0.95,0.24,11.0,0.8,0.05,0.0,1009.0,8989.0,573.0,847.0,606.0,357.0,137.0,60.0,26.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34222.0,-inf
0.58,0.25,5.0,0.2,0.5,0.0,3636.0,3164.0,4493.0,1648.0,368.0,46.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16221.0,-inf
0.89,0.4,8.0,0.9,0.1,0.0,1644.0,4635.0,6636.0,87.0,84.0,68.0,19.0,11.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27257.0,-inf
0.04,0.31,10.0,0.2,0.001,0.0,8.0,25.0,26.0,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13858.0,-inf
0.69,0.34,6.0,0.5,5e-05,0.0,0.0,1.0,2.0,6.0,16.0,33.0,81.0,188.0,360.0,479.0,516.0,601.0,659.0,626.0,592.0,509.0,477.0,403.0,320.0,283.0,253.0,217.0,151.0,144.0,133.0,20297.0,-1351.8962620441223
